policy_id,sub_sector,region,policy_year,premium_usd,had_claim,n_claims,total_loss,bi_loss,log_revenue,cyber_control_score,vendor_control_pressure,prior_incident_score,limit_mm,retention_mm,predicted_claim_probability,expected_claim_frequency,expected_claim_severity,pure_premium,technical_premium_template,premium_gap,indicated_to_current_ratio,actual_loss_ratio
POL-2020077,Insurance Carrier,Southwest,2023,34041307,0,0.0,0.0,0.0,8.709382567408541,0.47275,15.454545454545453,0.0,100,2.177,0.07,0.06995,1024163.56,71642.38,159205.29,-33882101.71,0.00468,0.0
POL-2020078,Credit Union,Midwest,2021,21316,0,0.0,0.0,0.0,3.758871825933971,0.638,20.54054054054054,0.6931471805599453,2,0.071,0.1,0.09993,591549.11,59114.42,131365.38,110049.38,6.16276,0.0
POL-2020079,Asset Manager,West,2022,7427551,0,0.0,0.0,0.0,7.225918058687505,0.51225,7.5675675675675675,0.6931471805599453,100,3.887,0.07,0.06995,1652661.98,115607.16,256904.79,-7170646.21,0.03459,0.0
POL-2020080,Broker-Dealer,National,2020,5346919,0,0.0,0.0,0.0,6.677083461247136,0.76925,23.191489361702132,0.0,100,3.343,0.02,0.01999,40466323.58,808772.52,1797272.26,-3549646.74,0.33613,0.0
POL-2020081,Community Bank,West,2024,466161,0,0.0,0.0,0.0,4.72384171570559,0.5535,10.37037037037037,0.0,50,0.481,0.14,0.1399,1481199.12,207225.94,460502.09,-5658.91,0.98786,0.0
POL-2020082,Investment Bank,Southwest,2022,18548775,0,0.0,0.0,0.0,8.273260025894471,0.9317500000000002,5.8,0.6931471805599453,50,1.956,0.03,0.02998,1525344.44,45729.01,101620.03,-18447154.97,0.00548,0.0
POL-2020083,Asset Manager,Northeast,2022,214612,0,0.0,0.0,0.0,6.060524083039477,0.8045000000000001,14.871794871794872,0.0,2,0.082,0.17,0.16988,2196318.0,373118.5,829152.22,614540.22,3.86349,0.0
POL-2020084,Asset Manager,West,2024,996196,0,0.0,0.0,0.0,6.737915499690239,0.59775,8.709677419354838,0.6931471805599453,5,0.087,0.32,0.31978,1980410.82,633297.7,1407328.21,411132.21,1.4127,0.0
POL-2020085,Insurance Carrier,National,2020,6675041,0,0.0,0.0,0.0,8.264929741528176,0.858,3.8461538461538463,0.0,10,0.397,0.11,0.10992,1202376.11,132170.84,293712.99,-6381328.01,0.044,0.0
POL-2020086,Investment Bank,Southwest,2021,31188870,0,0.0,0.0,0.0,8.202783771036776,0.6925,5.625,0.0,100,1.402,0.16,0.15989,37977693.1,6072271.81,13493937.35,-17694932.65,0.43265,0.0
POL-2020087,Fintech-Lending,Southeast,2023,323298,0,0.0,0.0,0.0,5.091908014224992,0.688,13.333333333333332,0.6931471805599453,10,0.32,0.1,0.09993,2740921.36,273904.53,608676.73,285378.73,1.88271,0.0
POL-2020088,Fintech-Lending,Midwest,2022,7837937,0,0.0,0.0,0.0,6.799501693541883,0.7755,12.1875,0.0,100,3.661,0.09,0.08994,1095420.11,98520.33,218934.07,-7619002.93,0.02793,0.0
POL-2020089,Hedge Fund,West,2023,783707,0,0.0,0.0,0.0,5.8766147054290405,0.7965,28.055555555555554,0.6931471805599453,10,0.36,0.1,0.09993,793616.5,79307.33,176238.51,-607468.49,0.22488,0.0
POL-2020090,Community Bank,Northeast,2021,86929,0,0.0,0.0,0.0,4.986342601527212,0.6475,8.0,0.0,2,0.025,0.26,0.25982,250137.53,64991.24,144424.99,57495.99,1.66141,0.0
POL-2020091,National Bank,Southwest,2021,89847975,0,0.0,0.0,0.0,9.512709066079587,0.7485,2.7450980392156863,0.6931471805599453,100,4.423,0.04,0.03997,18885624.35,754907.91,1677573.14,-88170401.86,0.01867,0.0
POL-2020092,Regional Bank,Midwest,2021,731439,0,0.0,0.0,0.0,5.776103136235827,0.6577500000000001,6.341463414634147,0.0,25,0.89,0.04,0.03997,1518553.79,60700.58,134890.17,-596548.83,0.18442,0.0
POL-2020093,Fintech-Lending,West,2024,178059,0,0.0,0.0,0.0,4.432006566978902,0.8170000000000001,8.0,0.0,10,0.376,0.03,0.02998,1117377.42,33498.38,74440.84,-103618.16,0.41807,0.0
POL-2020094,Insurance Carrier,Southwest,2022,20664567,1,1.0,139925.0,4058.0,8.88527483093659,0.61625,7.0,0.0,25,0.273,0.63,0.62957,1645155.72,1035738.7,2301641.55,-18362925.45,0.11138,0.00677
POL-2020095,Regional Bank,Southeast,2020,555904,1,1.0,733763.0,322839.0,6.357322200621367,0.5250000000000001,10.909090909090908,0.6931471805599453,5,0.141,0.64,0.63956,993132.26,635169.6,1411487.99,855583.99,2.53909,1.31995
POL-2020096,Community Bank,Southwest,2020,58732,0,0.0,0.0,0.0,4.334672938290411,0.6637500000000001,2.0689655172413794,0.6931471805599453,5,0.078,0.01,0.00999,272230.64,2720.44,6045.43,-52686.57,0.10293,0.0
POL-2020097,Asset Manager,Midwest,2020,3000740,0,0.0,0.0,0.0,7.305121008833652,0.7195,11.5,0.0,15,0.395,0.12,0.11992,3401588.92,407911.28,906469.51,-2094270.49,0.30208,0.0
POL-2020098,Insurance Carrier,Northeast,2023,49156138,0,0.0,0.0,0.0,8.09052487565697,0.9575000000000001,2.7450980392156863,0.0,500,23.512,0.06,0.05996,2389976.85,143300.46,318445.47,-48837692.53,0.00648,0.0
POL-2020099,Community Bank,Northeast,2022,145822,0,0.0,0.0,0.0,4.279440045898781,0.45050000000000007,13.414634146341465,0.6931471805599453,15,0.53,0.09,0.08994,132672.87,11932.39,26516.41,-119305.59,0.18184,0.0
POL-2020100,Fintech-Lending,National,2022,1090969,0,0.0,0.0,0.0,5.6580875153940715,0.5710000000000001,13.478260869565215,0.0,25,1.103,0.09,0.08994,325694.91,29292.48,65094.4,-1025874.6,0.05967,0.0
POL-2020101,Insurance Carrier,Southwest,2021,28738416,0,0.0,0.0,0.0,9.037842405330865,0.718,4.7368421052631575,0.0,50,2.499,0.06,0.05996,1171198.36,70223.8,156052.9,-28582363.1,0.00543,0.0
POL-2020102,Regional Bank,Southeast,2022,865166,0,0.0,0.0,0.0,6.664153885765531,0.53425,5.714285714285714,0.6931471805599453,5,0.207,0.06,0.05996,1910912.34,114576.26,254613.92,-610552.08,0.29429,0.0
POL-2020103,Asset Manager,Midwest,2022,1221714,0,0.0,0.0,0.0,5.812935788552724,0.80425,42.41379310344828,0.0,50,1.09,0.11,0.10992,10686031.85,1174658.94,2610353.21,1388639.21,2.13663,0.0
POL-2020104,Regional Bank,West,2021,1239468,0,0.0,0.0,0.0,6.439190613930656,0.7885000000000001,2.5806451612903225,0.6931471805599453,15,0.467,0.1,0.09993,838773.2,83819.91,186266.46,-1053201.54,0.15028,0.0
POL-2020105,Asset Manager,National,2023,2208518,0,0.0,0.0,0.0,7.032359442206668,0.8777499999999999,4.0540540540540535,0.6931471805599453,15,0.143,0.05,0.04997,3686283.26,184188.01,409306.68,-1799211.32,0.18533,0.0
POL-2020106,Regional Bank,National,2024,218049,0,0.0,0.0,0.0,5.8630628323034575,0.6177499999999999,41.42857142857143,0.0,2,0.026,0.06,0.05996,1796050.92,107689.3,239309.55,21260.55,1.0975,0.0
POL-2020107,Investment Bank,West,2021,204483838,1,2.0,1044080.0,476398.0,9.426918417448228,0.58325,16.818181818181817,0.6931471805599453,250,8.018,0.65,0.64956,9425662.94,6122487.43,13605527.61,-190878310.39,0.06654,0.00511
POL-2020108,Insurance Carrier,Southwest,2024,3526639,0,0.0,0.0,0.0,7.643770359769258,0.6737500000000001,29.666666666666668,0.0,15,0.526,0.14,0.1399,1200591.69,167967.79,373261.76,-3153377.24,0.10584,0.0
POL-2020109,Credit Union,Southwest,2022,81289,1,1.0,19594.0,0.0,4.541164856012179,0.5615,11.153846153846153,0.0,5,0.162,0.85,0.84942,184948.3,157098.45,349107.67,267818.67,4.29465,0.24104
POL-2020110,Insurance Carrier,Northeast,2024,30360505,0,0.0,0.0,0.0,8.645058562414134,0.79675,19.25925925925926,0.0,100,4.961,0.02,0.01999,1047078.74,20927.24,46504.98,-30314000.02,0.00153,0.0
POL-2020111,Broker-Dealer,Southeast,2020,496184,0,0.0,0.0,0.0,6.107913359751229,0.755,19.545454545454543,0.6931471805599453,5,0.205,0.11,0.10992,2584381.59,284087.39,631305.32,135121.32,1.27232,0.0
POL-2020112,Hedge Fund,Southeast,2021,557834,1,1.0,44331.0,26159.0,6.761109698640652,0.6074999999999999,5.6,0.0,2,0.052,0.74,0.73949,899677.62,665305.75,1478457.23,920623.23,2.65035,0.07947
POL-2020113,Regional Bank,West,2020,1122910,1,1.0,266234.0,164905.0,7.1052117233603616,0.787,9.45945945945946,0.6931471805599453,5,0.234,0.67,0.66954,2445204.03,1637165.36,3638145.24,2515235.24,3.23993,0.23709
POL-2020114,Insurance Carrier,Midwest,2024,1390561,0,0.0,0.0,0.0,8.36152135521704,0.8335,4.3589743589743595,0.0,1,0.037,0.23,0.22984,5504897.06,1265259.71,2811688.24,1421127.24,2.02198,0.0
POL-2020115,Community Bank,Southwest,2024,774125,0,0.0,0.0,0.0,5.64685932725658,0.8325,9.210526315789473,0.0,25,0.705,0.05,0.04997,395097.21,19741.34,43869.64,-730255.36,0.05667,0.0
POL-2020116,Investment Bank,Midwest,2020,14384873,1,1.0,2008535.0,584576.0,7.895994510168876,0.7205,26.0,0.0,50,1.814,0.71,0.70951,11983730.86,8502625.2,18894722.66,4509849.66,1.31351,0.13963
POL-2020117,Broker-Dealer,West,2024,180604,1,1.0,253276.0,0.0,5.052416828111211,0.6512500000000001,12.592592592592592,0.0,5,0.058,0.63,0.62957,3253942.74,2048580.79,4552401.75,4371797.75,25.20654,1.40238
POL-2020118,Fintech-Lending,Southeast,2024,214441,0,0.0,0.0,0.0,5.5310151306670585,0.805,9.310344827586206,0.0,2,0.029,0.05,0.04997,1883590.34,94115.05,209144.57,-5296.43,0.9753,0.0
POL-2020119,Investment Bank,National,2020,56456221,0,0.0,0.0,0.0,8.789979876351318,0.9567500000000001,9.019607843137255,0.0,100,0.78,0.06,0.05996,6322458.66,379087.87,842417.49,-55613803.51,0.01492,0.0
